Survey_number,Sex,School_code,Teacher_code,Library_me,Museum_me,Scouts_me,National_Parks_me,Afterschool_me,Talk_me,Summer_camp_me,Hike_outdoors_me,Garden_me,Experiments_me,Read_me,Internet_me,Computer_me,TV_me,Build_me,Library_encourage,Museum_encourage,Scouts_encourage,National_park_encourage,Afterschool_encourage,Talk_encourage,Summer_camps_encourage,Hike_outdoors_encourage,Garden_encourage,Experiment_encourage,Read_encourage,Internet_encourage,Computer_encourage,TV_encourage,Build_encourage,Stars_planets,mix_materials,Weather,Human_body,Traits,Dinosaurs,Fish_hunt,Earthquakes,Instruments,Diseases,Dangerous_plants_animals,Planets_space,Buildings_bridges,Eat_exercise,Engines,Rocks_minerals,Computers_cell_phones,Puzzels_math,Food_flowers,Maps,Invent,Community_green,Pets,Earth_space,Human_bio,Tech_eng
11,1,Shaver,Nakashima,3,2,2,2,5,4,5,4,3,4,5,5,4,3,3,1112,1121,1211,2111,1112,1121,1211,2112,1121,1211,2111,1111,1112,1122,1221,4,4,3,4,4,2,4,5,3,4,2,4,2,4,3,2,3,4,3,3,4,4,4,0.75,0.75,0.45833333325
110,0,Faithful Savior,FS,4,3,5,4,4,2,4,5,4,4,5,5,5,3,5,1112,1121,1211,2111,1112,1122,1221,2211,2111,1112,1121,1211,2111,1111,1111,4,5,1,1,2,1,1,1,3,2,4,5,2,2,3,2,5,2,2,5,5,5,5,0.4375,0.16666666675,0.66666666675
131,0,Prescott,Marsh,3,3,1,3,5,4,3,4,2,5,5,4,2,4,5,1112,1121,1211,2111,1112,1121,1211,2111,1111,1111,1111,1111,1112,1121,1211,3,4,2,2,2,2,5,3,1,1,2,2,4,4,3,2,2,4,2,2,5,1,2,0.375,0.41666666675,0.5
161,1,Russell,O'Brien,2,2,4,4,4,5,3,3,1,2,5,1,2,2,1,1112,1121,1211,2112,1121,1212,2121,1212,2121,1211,2111,1112,1121,1211,2111,4,1,1,4,1,1,1,1,1,5,2,5,1,4,1,1,1,1,1,1,3,5,4,0.4375,0.5,0.08333333325
172,1,Russell,Curry,5,3,2,2,1,2,2,4,1,5,5,5,5,5,5,1112,1121,1211,2111,1112,1121,1211,2111,1111,1111,1111,1111,1111,1111,1111,3,5,1,1,5,1,1,1,1,5,5,5,1,4,3,5,5,5,4,4,5,5,5,0.375,0.58333333325,0.70833333325
173,1,Russell,Curry,2,3,4,3,5,1,1,3,1,4,4,2,4,1,2,2111,1112,1121,1211,2111,1112,1121,1211,2111,1111,1111,1111,1112,1122,1221,2,5,1,4,1,3,5,4,1,1,2,3,4,1,1,1,1,2,3,4,5,1,5,0.375,0.25,0.41666666675
178,0,Russell,Curry,3,2,1,4,4,5,1,5,2,2,2,5,1,5,5,2111,1112,1121,1211,2111,1111,1111,1111,1112,1121,1211,2112,1121,1212,2121,2,4,2,1,1,4,1,5,1,1,5,3,2,1,1,2,4,3,1,2,2,4,5,0.5,0,0.29166666675
191,0,David Douglas,NA,5,2,1,4,5,5,1,3,2,2,3,3,5,2,3,2111,1111,1111,1111,1111,1111,1111,1111,1111,1112,1121,1211,2111,1112,1121,2,2,1,3,2,3,4,2,1,1,2,3,1,2,1,2,1,5,1,NA,1,2,3,0.25,0.33333333325,0.05
192,0,NA,NA,3,1,1,2,4,3,4,3,4,1,2,4,5,3,2,2111,1111,1111,1111,1112,1121,1211,2111,1112,1122,1221,2211,2111,1112,1121,4,3,1,2,1,2,3,3,1,2,2,3,4,3,1,4,3,4,2,2,4,4,4,0.4375,0.25,0.5
6,1,Shaver,Nakashima,3,2,2,2,3,2,1,3,2,3,1,3,3,3,2,2111,1112,1121,1211,2111,1111,1111,1111,1112,1121,1211,2112,1121,1211,2112,4,3,2,3,4,3,4,3,2,3,4,3,2,3,4,4,5,4,3,4,4,3,4,0.5,0.58333333325,0.70833333325
17,1,Shaver,Nakashima,1,1,1,1,4,5,2,3,1,1,1,1,1,5,1,2111,1111,1111,1111,1112,1122,1221,2211,2111,1111,1111,1111,1112,1122,1221,4,5,4,4,5,4,5,5,4,4,5,5,4,5,5,5,5,4,5,4,5,5,5,0.875,0.91666666675,0.91666666675
27,1,Shaver,Nakashima,4,2,3,2,2,2,1,2,3,4,2,2,2,3,2,2111,1111,1111,1112,1121,1211,2111,1112,1121,1211,2111,1111,1112,1121,1211,2,4,2,2,1,2,2,2,2,4,3,1,3,1,2,3,5,2,2,1,1,4,4,0.1875,0.08333333325,0.375
30,0,Shaver,Newcomb,2,1,1,2,5,4,1,5,3,3,4,4,5,5,4,1121,1211,2112,1121,1211,2111,1112,1121,1211,2111,1111,1112,1121,1211,2112,5,4,2,2,2,1,5,4,4,5,1,5,3,2,5,4,5,2,1,3,4,4,5,0.75,0.25,0.75
